fname,mname,lname,studentNo,dob,address,mobile,email,faculty
Ainsley,Clarice,Harvey,2344769845,30-Apr-00,"290 8th St., Phoenixville, PA 19460",(856) 240-4806,harveyAI@myuni.db,Science
Charli,Dariela,Stevenson,2344263306,29-Oct-01,"853 Rockledge Street, Metairie, LA 70001",(967) 787-1891,stevensonCH@myuni.db,Engineering
Makenna,Emari,Houston,2344895171,16-Oct-96,"948 Pierce Drive, Acworth, GA 30101",(240) 386-0458,houstonMA@myuni.db,Arts
Danna,Everette,Dunn,2344575029,08-Nov-02,"15 Mill Pond Road, West Chester, PA 19380",(962) 761-0256,dunnDA@myuni.db,Arts
Lilliana,Haevyn,West,2344535005,15-Jun-00,"8450 River Avenue, Crofton, MD 21114",(468) 283-2142,westLI@myuni.db,Science
Samara,Indira,Barr,2344593807,06-Nov-04,"887 Lafayette Street, Mebane, NC 27302",(454) 577-5889,barrSA@myuni.db,Engineering
Mabel,Jayline,Snyder,2344283048,15-Oct-03,"5 Manchester Ave., Billerica, MA 01821",(526) 490-5906,snyderMA@myuni.db,Engineering
Fatima,Katalyna,Cain,2344375374,12-Nov-98,"45 SW. Fairway Dr., Nanuet, NY 10954",(392) 830-6493,cainFA@myuni.db,Engineering
Esme,Kristin,Boswell,2344164464,10-Jun-03,"7344 Cedar Road, Ephrata, PA 17522",(672) 853-0468,boswellES@myuni.db,Arts
Madeleine,Kylar,Pittman,2344126910,12-Aug-99,"619 St Louis Street, Rowlett, TX 75088",(233) 310-5227,pittmanMA@myuni.db,Engineering
Camryn,Kymber,Weiner,2344482833,26-Aug-04,"498 Prospect Court, Lakeville, MN 55044",(391) 971-3246,weinerCA@myuni.db,Social Work
Annalise,Lexy,Petersen,2344435628,25-Aug-96,"16 South Ridgeview Street, Hyde Park, MA 02136",(631) 765-2701,petersenAN@myuni.db,Architecture
Serena,Liviana,Davis,2344319439,11-Jan-96,"552 Piper Dr., Benton Harbor, MI 49022",(450) 649-8484,davisSE@myuni.db,Arts
Rylie,Malaiya,Coleman,2344426116,24-Dec-02,"644 South Indian Spring Road, Eugene, OR 97402",(525) 256-1982,colemanRY@myuni.db,Arts
Laura,Mirabella,Terrell,2344949915,10-Feb-98,"7819 Ohio Dr., Wheeling, WV 26003",(247) 406-8922,terrellLA@myuni.db,Arts
Frances,Neema,Burch,2344494562,16-Aug-99,"7366 Silver Spear Dr., Ankeny, IA 50023",(650) 349-1985,burchFR@myuni.db,Architecture
Heidi,Passion,Parrott,2344777924,06-Jan-05,"8756 North Bedford St., Hopewell Junction, NY 12533",(426) 292-1018,parrottHE@myuni.db,Humanities
Sabrina,Renesmae,Henry,2344401439,31-Oct-99,"9839 Greystone Lane, Merrimack, NH 03054",(300) 356-0473,henrySA@myuni.db,Agriculture
Gwendolyn,Royce,Gray,2344356567,14-Sep-03,"73 Arcadia Rd., Battle Creek, MI 49015",(703) 308-3693,grayGW@myuni.db,Science
Poppy,Shaelyn,Chang,2344666219,20-Nov-98,"96 Birchwood Dr., New Bedford, MA 02740",(762) 331-9027,changPO@myuni.db,Social Work
Nylah,Tailynn,Siegel,2344806786,04-Jan-98,"517 East Creekside St., Altoona, PA 16601",(347) 377-1814,siegelNY@myuni.db,Engineering
Maisie,Trisha,Garrett,2344613165,07-Feb-98,"77 William Court, Savannah, GA 31404",(909) 432-5107,garrettMA@myuni.db,Engineering
Joy,Zakiyah,Neal,2344748919,30-Apr-01,"156 Thorne Dr., Chesterfield, VA 23832",(208) 378-5049,nealJO@myuni.db,Humanities
Raven,Abbey,Shaffer,2344796785,06-Dec-95,"9368 NE. Wayne St., Londonderry, NH 03053",(205) 342-5797,shafferRA@myuni.db,Science
Allie,Alanii,Choi,2344384277,30-Mar-01,"991 Pawnee Dr., Ocean Springs, MS 39564",(689) 978-8824,choiAL@myuni.db,Social Work
Kate,Angeles,Carver,2344207782,27-Sep-98,"378 York Ave., Westbury, NY 11590",(482) 459-5507,carverKA@myuni.db,Science
Alicia,Arisha,Shelton,2344226811,30-Apr-04,"66 2nd Ave., Stafford, VA 22554",(526) 991-5403,sheltonAL@myuni.db,Agriculture
Addilyn,Callista,House,2344145293,06-May-02,"59 Trenton Dr., Orange Park, FL 32065",(455) 970-1620,houseAD@myuni.db,Social Work
Malani,Codi,Lyons,2344266807,22-Oct-97,"411 Cactus St., Bradenton, FL 34203",(991) 708-9508,lyonsMA@myuni.db,Humanities
Elisa,Debra,Moser,2344710447,19-Nov-01,"585 Glenholme St., Helena, MT 59601",(276) 600-2155,moserEL@myuni.db,Science
Azalea,Dynver,Dickinson,2344622549,31-Dec-00,"752 Glenlake St., Westlake, OH 44145",(818) 298-9816,dickinsonAZ@myuni.db,Humanities
Jordan,Eman,Dodson,2344583907,13-Apr-01,"62 Spruce Court, Lagrange, GA 30240",(521) 737-9221,dodsonJO@myuni.db,Social Work
Viviana,Fay,Spencer,2344746140,07-Jan-05,"227 Fairground St., Endicott, NY 13760",(330) 340-1921,spencerVI@myuni.db,Architecture
Skye,Hayzlee,Burgess,2344280194,15-May-03,"7 Woodside Street, Fairborn, OH 45324",(277) 372-1449,burgessSK@myuni.db,Engineering
Makenzie,Jayanna,Liu,2344275896,27-Apr-03,"87 Selby Street, District Heights, MD 20747",(534) 530-4447,liuMA@myuni.db,Social Work
Legacy,Kaily,Wong,2344360780,30-Nov-96,"64 Boston St., Park Forest, IL 60466",(930) 359-3946,wongLE@myuni.db,Arts
Ariah,Kambrie,Blackburn,2344379045,04-Mar-00,"11 Madison Drive, Concord, NH 03301",(600) 447-5305,blackburnAR@myuni.db,Engineering
Carmen,Karisma,McKay,2344861033,30-May-96,"522 Manor St., Allentown, PA 18102",(283) 506-6966,mckayCA@myuni.db,Agriculture
Maren,Kaycie,Frazier,2344669849,07-Nov-98,"5 Livingston Street, Fernandina Beach, FL 32034",(666) 287-1099,frazierMA@myuni.db,Arts
Felicity,Keisy,Braswell,2344903960,11-Aug-95,"995 Franklin Drive, Bowling Green, KY 42101",(617) 282-2397,braswellFE@myuni.db,Humanities
Danielle,Khylee,Donovan,2344261906,07-Jan-97,"7212 Trenton Street, Fleming Island, FL 32003",(601) 381-3294,donovanDA@myuni.db,Architecture
Paris,Leann,Barrett,2344845811,01-Sep-04,"506 E. Lookout Drive, Roswell, GA 30075",(394) 201-2473,barrettPA@myuni.db,Architecture
Bianca,Leighla,Nance,2344242344,20-Apr-02,"33 Randall Mill Lane, New Philadelphia, OH 44663",(934) 313-6134,nanceBI@myuni.db,Arts
Jazlyn,Leonor,Washington,2344476592,31-Oct-99,"83 Mulberry Ave., Sykesville, MD 21784",(377) 473-1801,washingtonJA@myuni.db,Agriculture
Bristol,Maida,Rogers,2344704845,09-Sep-04,"775 South Roehampton Rd., Phoenix, AZ 85021",(835) 249-3662,rogersBR@myuni.db,Social Work
Esmeralda,Mayar,McMahon,2344936785,20-Jul-97,"825 East Pineknoll Street, Rockville, MD 20850",(790) 590-8013,mcmahonES@myuni.db,Humanities
Stephanie,Mehar,Miles,2344555543,13-Apr-02,"317 Jennings Street, Salem, MA 01970",(802) 211-2283,milesST@myuni.db,Agriculture
Marlee,Micaiah,Kramer,2344821062,17-Nov-99,"935 West Blackburn Ave., Seattle, WA 98144",(595) 668-9444,kramerMA@myuni.db,Arts
Hattie,Monique,Bowles,2344620267,21-Mar-02,"553 High Point Rd., Canyon Country, CA 91387",(455) 764-8564,bowlesHA@myuni.db,Engineering
Rosie,Namaari,Brown,2344162040,16-Jul-99,"9245 Boston Street, Reidsville, NC 27320",(279) 575-7262,brownRO@myuni.db,Science
Kenzie,Paislynn,Bolton,2344783135,29-Sep-04,"78 Sugar Ave., Grove City, OH 43123",(826) 366-2007,boltonKE@myuni.db,Humanities
Holly,Rubie,Craven,2344159100,23-Jan-03,"312 Young Road, Fort Lee, NJ 07024",(651) 856-0289,cravenHO@myuni.db,Agriculture
Sylvia,Silvana,Hendrix,2344746112,09-Jul-95,"7886 N. Creekside Drive, Holly Springs, NC 27540",(811) 941-0009,hendrixSY@myuni.db,Science
Armani,Symone,Saunders,2344414583,02-Aug-96,"84 Saxon Court, Kansas City, MO 64151",(452) 608-5951,saundersAR@myuni.db,Architecture
Keira,Valley,Lehman,2344277710,14-Jan-05,"23 Tunnel St., Dorchester, MA 02125",(789) 371-0677,lehmanKE@myuni.db,Science
Jacqueline,Vittoria,Sherrill,2344322911,17-Sep-99,"267 Linda St., Winter Garden, FL 34787",(214) 276-5851,sherrillJA@myuni.db,Science
Amanda,Aaria,Cash,2344359662,09-Jun-95,"9176 Atlantic Avenue, Oak Ridge, TN 37830",(533) 695-3471,cashAM@myuni.db,Engineering
Emory,Addelynn,Sullivan,2344465779,24-Oct-99,"339 Selby Rd., Hickory, NC 28601",(313) 362-8332,sullivanEM@myuni.db,Engineering
Haisley,Alayia,Mack,2344854004,26-May-96,"56 Oakland Drive, Worcester, MA 01604",(677) 407-7055,mackHA@myuni.db,Engineering
Jessica,Amairani,Rice,2344541497,25-Jul-00,"165 Airport Street, Indian Trail, NC 28079",(983) 549-5024,riceJE@myuni.db,Arts
Dorothy,Avi,Ayers,2344462358,17-Jun-02,"16 Maple St., Rochester, NY 14606",(616) 834-2904,ayersDO@myuni.db,Humanities
Eve,Blue,Cherry,2344932703,01-May-99,"8893 Brandywine Ave., Syosset, NY 11791",(405) 304-9342,cherryEV@myuni.db,Architecture
Averie,Brenley,Richmond,2344913292,17-Jan-96,"59 West Howard Lane, Newnan, GA 30263",(748) 981-7504,richmondAV@myuni.db,Engineering
Lyra,Calli,York,2344365387,10-May-05,"143 Blackburn Rd., Prattville, AL 36067",(718) 985-3856,yorkLY@myuni.db,Engineering
Angel,Chosen,Wiley,2344808595,24-Jun-00,"9752 East Colonial Ave., Hackettstown, NJ 07840",(861) 449-4140,wileyAN@myuni.db,Agriculture
Jennifer,Darya,Harrington,2344832204,27-Jun-05,"637 Garden Rd., Fairfield, CT 06824",(608) 447-2925,harringtonJE@myuni.db,Architecture
Ryan,Emberley,Reed,2344907054,23-Jun-04,"451 Market Lane, Jonesborough, TN 37659",(584) 655-2087,reedRY@myuni.db,Social Work
Kyla,Essie,Nash,2344934279,14-Mar-04,"7810 South Lexington St., Medina, OH 44256",(842) 983-6235,nashKY@myuni.db,Science
Meadow,Hinata,Kent,2344651551,10-Apr-02,"8220 Chestnut Street, Fairburn, GA 30213",(260) 408-8475,kentME@myuni.db,Social Work
Kora,Jaelani,Holland,2344278114,29-Mar-05,"517 East Acacia Circle, Redford, MI 48239",(736) 405-8042,hollandKO@myuni.db,Science
Kinley,Jo,Clements,2344688696,23-Aug-95,"143 Jennings Road, Germantown, MD 20874",(808) 974-1518,clementsKI@myuni.db,Agriculture
Mae,Kay,Hawley,2344309579,19-Mar-95,"88 Brewery Rd., Osseo, MN 55311",(355) 785-5208,hawleyMA@myuni.db,Agriculture
Aisha,Kynsleigh,Skinner,2344404194,17-Jul-03,"99 Tower St., Eden Prairie, MN 55347",(462) 218-0130,skinnerAI@myuni.db,Humanities
Carolina,Lenny,Hamrick,2344757457,23-Aug-03,"243 Willow Street, Stratford, CT 06614",(401) 981-3755,hamrickCA@myuni.db,Agriculture
Alma,Lyana,Winters,2344400598,20-Oct-03,"730 Brown St., Chatsworth, GA 30705",(225) 559-6680,wintersAL@myuni.db,Arts
Bonnie,Nalayah,Dolan,2344880333,11-Nov-02,"8980 Elm St., Tewksbury, MA 01876",(305) 892-9123,dolanBO@myuni.db,Agriculture
Briar,Nubia,Turner,2344677995,14-Apr-00,"348 Talbot St., Lenoir, NC 28645",(375) 690-9903,turnerBR@myuni.db,Agriculture
Leona,Serayah,Beatty,2344132687,10-Oct-02,"80 Shipley Street, Long Branch, NJ 07740",(872) 702-6114,beattyLE@myuni.db,Agriculture
Maddison,Shaindel,Douglas,2344717435,17-Jul-04,"304 SW. Wayne St., Port Washington, NY 11050",(312) 481-5793,douglasMA@myuni.db,Architecture
Aviana,Spring,Hendricks,2344244330,15-Mar-97,"8798 Shub Farm Lane, Twin Falls, ID 83301",(513) 907-7278,hendricksAV@myuni.db,Science
Alondra,Taylen,Mayer,2344126539,15-Jul-01,"9609 Studebaker St., Canton, GA 30114",(721) 699-3402,mayerAL@myuni.db,Science
Monroe,Xitlaly,Cochran,2344856246,25-Dec-95,"657 Armstrong Dr., Riverdale, GA 30274",(447) 735-3716,cochranMO@myuni.db,Engineering
Maliyah,Zayra,Reilly,2344233002,03-Jul-05,"789 Heritage Circle, Villa Park, IL 60181",(319) 663-1105,reillyMA@myuni.db,Architecture
Madilynn,Zoee,Jensen,2344711359,14-Jun-00,"8812 Gartner Street, Glendale, AZ 85302",(688) 644-0953,jensenMA@myuni.db,Architecture
Katie,Zori,Yates,2344981915,28-Oct-96,"9794 Lakewood Ave., Apple Valley, CA 92307",(558) 829-7126,yatesKA@myuni.db,Engineering
Imani,Ahsoka,Haynes,2344929469,14-May-95,"79 Princess Ave., Chapel Hill, NC 27516",(949) 329-9068,haynesIM@myuni.db,Architecture
Analia,Amilya,Harmon,2344863382,09-Mar-00,"24 Vale Lane, Cranford, NJ 07016",(746) 465-2700,harmonAN@myuni.db,Social Work
Anya,Arleen,Dawson,2344360961,22-Jan-98,"582 Pearl Ave., Hicksville, NY 11801",(284) 435-5644,dawsonAN@myuni.db,Engineering
Emmy,Aven,Barefoot,2344773904,14-Mar-96,"866 S. Thompson Ave., Middle Village, NY 11379",(340) 832-9856,barefootEM@myuni.db,Humanities
Maryam,Avira,Pope,2344708017,21-Jun-01,"9 Lafayette Circle, Middleton, WI 53562",(363) 797-2456,popeMA@myuni.db,Social Work
Mckinley,Charisma,Schwartz,2344319877,20-Nov-04,"41 Gonzales Drive, Gibsonia, PA 15044",(507) 368-3029,schwartzMC@myuni.db,Social Work
Amalia,Crosby,Singleton,2344318725,28-Mar-98,"887 East Maiden Ave., Sewell, NJ 08080",(602) 861-3866,singletonAM@myuni.db,Architecture
Opal,Delphine,Ballard,2344548598,13-Dec-02,"209 Fieldstone Street, Cranberry Twp, PA 16066",(429) 293-6374,ballardOP@myuni.db,Agriculture
Clementine,Dru,Spivey,2344294533,29-Aug-01,"52 Nut Swamp Ave., Harrisonburg, VA 22801",(691) 453-4961,spiveyCL@myuni.db,Social Work
Xiomara,Ellieana,Denton,2344621809,09-Feb-00,"80 Sunbeam Drive, Indianapolis, IN 46201",(941) 596-4876,dentonXI@myuni.db,Arts
Elora,Evee,Huff,2344561800,11-Apr-00,"9 East New Saddle St., Havertown, PA 19083",(589) 473-8016,huffEL@myuni.db,Architecture
Antonella,Eyla,Berger,2344277270,19-Sep-98,"7720 Peninsula St., Kent, OH 44240",(477) 266-5308,bergerAN@myuni.db,Engineering
Hanna,Henlee,McCall,2344533193,13-Mar-01,"9958 Greenview Street, Shrewsbury, MA 01545",(977) 708-7537,mccallHA@myuni.db,Science
Alanna,Ilaria,Pollard,2344775017,03-Mar-05,"22 Lexington St., Nashville, TN 37205",(450) 500-0052,pollardAL@myuni.db,Agriculture
Itzel,Jeanne,Garcia,2344204347,01-Apr-00,"661 Oklahoma Road, Revere, MA 02151",(454) 623-8471,garciaIT@myuni.db,Social Work
Jayleen,Josiane,Crane,2344702540,11-May-99,"8436 Glen Eagles Street, Holbrook, NY 11741",(209) 279-5385,craneJA@myuni.db,Architecture
Beatrice,Kalista,Wolf,2344915008,24-Sep-95,"8022 New Drive, Solon, OH 44139",(438) 731-7212,wolfBE@myuni.db,Arts
Dylan,Keagan,Dalton,2344592339,21-Nov-04,"71 Halifax St., Olympia, WA 98512",(996) 766-6774,daltonDY@myuni.db,Social Work
Yaretzi,Khalessi,Currin,2344656002,20-Dec-99,"461 Ketch Harbour Street, Freeport, NY 11520",(789) 895-0790,currinYA@myuni.db,Social Work
Sasha,Lelani,Stanton,2344897326,21-Jan-96,"9488 NE. St Louis Drive, Reading, MA 01867",(248) 216-2560,stantonSA@myuni.db,Arts
Oaklyn,Lira,Carey,2344809158,27-Sep-00,"31 N. Lexington Ave., Mishawaka, IN 46544",(843) 737-9561,careyOA@myuni.db,Science
Abby,Marilynn,Hess,2344704802,27-Feb-00,"30 Old Pacific Street, Malden, MA 02148",(834) 615-6932,hessAB@myuni.db,Engineering
Lylah,Metzli,Robinson,2344343706,21-Apr-96,"9757 South Edgefield Street, Ames, IA 50010",(450) 546-8006,robinsonLY@myuni.db,Humanities
Reyna,Paradise,Mills,2344850893,02-Oct-95,"25 Wilson St., New Haven, CT 06511",(347) 767-0292,millsRE@myuni.db,Social Work
Michaela,Perri,McDonald,2344645029,29-Dec-96,"8647 Windfall Street, Hazleton, PA 18201",(736) 420-6317,mcdonaldMI@myuni.db,Architecture
Fernanda,Rivers,Lanier,2344961965,22-May-95,"36 Hawthorne Drive, Buford, GA 30518",(440) 658-1359,lanierFE@myuni.db,Social Work
Jenna,Sapphira,Harris,2344300225,24-Dec-02,"539 Leatherwood Lane, Irmo, SC 29063",(794) 360-2560,harrisJE@myuni.db,Architecture
Miranda,Sila,Parsons,2344488651,13-Feb-95,"593 53rd Street, Williamsburg, VA 23185",(312) 326-0594,parsonsMI@myuni.db,Science
Mina,Taylyn,Vaughn,2344403708,23-Jul-00,"3 Beaver Ridge Rd., Andover, MA 01810",(957) 517-9145,vaughnMI@myuni.db,Science
Aleena,Viana,Banks,2344811506,30-Jul-99,"50 Bridge Rd., Waltham, MA 02453",(664) 767-1006,banksAL@myuni.db,Arts
Frankie,Aaleyah,Oakley,2344571964,09-Jun-96,"827 Sleepy Hollow Ave., East Brunswick, NJ 08816",(796) 633-1872,oakleyFR@myuni.db,Science
Kathryn,Acadia,Rubin,2344984283,27-Mar-03,"473 Marshall Ave., Auburn, NY 13021",(327) 727-2987,rubinKA@myuni.db,Social Work
Nola,Alaysha,Maynard,2344675561,17-Aug-99,"68 N. Gulf St., Bellmore, NY 11710",(227) 248-0892,maynardNO@myuni.db,Architecture
Lennox,Alyah,Livingston,2344446726,14-Nov-01,"716 N. Heritage Ave., Fort Lauderdale, FL 33308",(347) 250-3290,livingstonLE@myuni.db,Architecture
Angelica,Ameliana,Lam,2344834083,30-Jun-00,"166 Ridge St., South Portland, ME 04106",(689) 684-4813,lamAN@myuni.db,Science
Calliope,Anistyn,Thompson,2344697274,10-Sep-04,"675 Beechwood Ave., Woodbridge, VA 22191",(487) 267-6030,thompsonCA@myuni.db,Social Work
Ivanna,Atalie,Creech,2344290857,01-Nov-01,"44 San Juan Ave., Waterloo, IA 50701",(355) 811-4170,creechIV@myuni.db,Arts
Faye,Braya,Dillon,2344431856,19-Jan-05,"262 James Court, Quakertown, PA 18951",(235) 720-8687,dillonFA@myuni.db,Science
Oakleigh,Bronwyn,Foster,2344812312,01-Dec-03,"7125 East Creekside St., Norcross, GA 30092",(911) 872-8497,fosterOA@myuni.db,Engineering
Amirah,Cirilla,Roy,2344374891,22-Oct-96,"9 South Myrtle Dr., Elgin, IL 60120",(582) 820-1730,royAM@myuni.db,Science
Siena,Cove,Barbour,2344845435,12-Dec-03,"495 Pendergast Street, Enterprise, AL 36330",(784) 323-6441,barbourSI@myuni.db,Agriculture
Rhea,Deasia,Burke,2344396618,19-Mar-05,"63 Thorne Drive, Merrillville, IN 46410",(586) 549-6096,burkeRH@myuni.db,Engineering
Malaysia,Embry,Ritchie,2344811354,22-Oct-00,"868 S. Manor Station St., Monroeville, PA 15146",(502) 379-6419,ritchieMA@myuni.db,Social Work
Liberty,Hayat,Odom,2344934173,07-Nov-02,"83 Valley St., Grand Haven, MI 49417",(959) 290-0787,odomLI@myuni.db,Social Work
Alejandra,Jasmyn,Pearce,2344692966,31-Oct-97,"35 Greystone Street, Raleigh, NC 27603",(364) 749-6589,pearceAL@myuni.db,Architecture
Charley,Jemima,Rosenberg,2344404340,24-Apr-02,"6 West Columbia Drive, Chaska, MN 55318",(806) 268-3767,rosenbergCH@myuni.db,Humanities
Priscilla,Juna,Connor,2344662098,15-Jan-00,"7694 East Laurel Dr., Greenfield, IN 46140",(727) 592-9563,connorPR@myuni.db,Agriculture
Savanna,Kaniya,Cates,2344637611,04-Oct-99,"65 Acacia Ave., Mason, OH 45040",(913) 694-7569,catesSA@myuni.db,Social Work
Christina,Kimberlynn,McIntosh,2344713208,19-Jul-95,"761 Stillwater St., Omaha, NE 68107",(359) 726-8392,mcintoshCH@myuni.db,Agriculture
Macy,Lanae,Olson,2344720118,18-Oct-96,"44 Bayberry St., North Tonawanda, NY 14120",(942) 338-2399,olsonMA@myuni.db,Architecture
Melina,Lynley,Cox,2344911138,20-Jul-02,"51 West Sleepy Hollow Street, Bonita Springs, FL 34135",(595) 459-9368,coxME@myuni.db,Agriculture
Dallas,Mirai,Erickson,2344221646,05-Feb-95,"865 SW. Alderwood Dr., Victoria, TX 77904",(246) 877-8942,ericksonDA@myuni.db,Science
Briana,Nayelli,Briggs,2344686712,26-Dec-98,"7004 Arcadia Lane, Emporia, KS 66801",(756) 412-8309,briggsBR@myuni.db,Architecture
Lilian,Praise,Klein,2344964151,14-Sep-00,"5 Ashley St., Fishers, IN 46037",(379) 639-6883,kleinLI@myuni.db,Architecture
Blaire,Rayanna,Goldberg,2344871999,17-Dec-98,"229 Ashley St., Duarte, CA 91010",(561) 564-9546,goldbergBL@myuni.db,Arts
Louise,Skylin,Hinson,2344219128,18-Nov-00,"76 Riverside Dr., El Paso, TX 79930",(329) 592-0885,hinsonLO@myuni.db,Engineering
Aleah,Swara,Weiss,2344362223,28-May-01,"315 W. Cobblestone Street, South Richmond Hill, NY 11419",(455) 258-8005,weissAL@myuni.db,Agriculture
Flora,Tinslee,Pritchard,2344195839,16-Aug-01,"7764 SW. Bridle Ave., Stone Mountain, GA 30083",(271) 572-3564,pritchardFL@myuni.db,Science
Kendra,Vita,Lassiter,2344256813,03-Jul-99,"9089 Westminster Drive, Wadsworth, OH 44281",(682) 408-1678,lassiterKE@myuni.db,Architecture
Laney,Zaara,Massey,2344907751,16-Apr-97,"8474 Elmwood St., Corona, NY 11368",(666) 786-6614,masseyLA@myuni.db,Social Work
Chaya,Aislin,Stark,2344774419,08-Jun-97,"80 S. Washington St., Beachwood, OH 44122",(487) 858-8584,starkCH@myuni.db,Architecture
Milan,Alycia,Dunlap,2344936260,27-Jul-02,"8654 East Ave., Zion, IL 60099",(411) 766-2962,dunlapMI@myuni.db,Engineering
Estella,Amairany,Humphrey,2344544860,26-Apr-02,"8710 Lexington Lane, Ottawa, IL 61350",(386) 668-2904,humphreyES@myuni.db,Engineering
Yara,Annora,Horowitz,2344769604,12-Nov-95,"38 Lakeview Ave., Savage, MN 55378",(423) 618-3198,horowitzYA@myuni.db,Architecture
Cheyenne,Avionna,Lutz,2344940086,25-May-98,"8577 Griffin Dr., Paramus, NJ 07652",(356) 566-3607,lutzCH@myuni.db,Arts
Carly,Becky,Hoover,2344747893,13-Nov-00,"645 Argyle Ave., New Rochelle, NY 10801",(962) 937-6777,hooverCA@myuni.db,Humanities
Kyra,Bloom,Kang,2344917308,10-Jun-99,"16 Arrowhead Rd., Conway, SC 29526",(309) 752-6224,kangKY@myuni.db,Science
Malaya,Christa,Ellington,2344153749,14-May-97,"5 Johnson Street, Sacramento, CA 95820",(269) 665-8745,ellingtonMA@myuni.db,Social Work
Lina,Daila,Lynn,2344148632,03-Nov-05,"104 Edgemont Drive, Atwater, CA 95301",(209) 349-0885,lynnLI@myuni.db,Science
Jayda,Eleina,Albright,2344498744,15-Nov-96,"43 W. 3rd Dr., Panama City, FL 32404",(636) 985-5751,albrightJA@myuni.db,Agriculture
Eileen,Ellah,Alston,2344221711,03-Feb-99,"7702 South Woodside Ave., Quincy, MA 02169",(798) 205-7916,alstonEI@myuni.db,Arts
Karina,Estefani,Burnette,2344919798,12-Feb-98,"62 Ashley Street, Fort Dodge, IA 50501",(257) 715-1856,burnetteKA@myuni.db,Architecture
Aliza,Hala,Neal,2344339626,11-Sep-99,"957 Glen Ridge Ave., Gurnee, IL 60031",(550) 848-0219,nealAL@myuni.db,Architecture
Kori,Ilianna,Morris,2344762882,05-Apr-00,"52 East Bellevue Ave., Ocoee, FL 34761",(805) 446-6935,morrisKO@myuni.db,Science
Lara,Inari,Callahan,2344503848,28-Apr-00,"8393 S. Durham Street, Potomac, MD 20854",(754) 415-9343,callahanLA@myuni.db,Social Work
Jada,Jai,Conway,2344636740,04-Jul-02,"9109 Heritage St., Massapequa Park, NY 11762",(991) 911-1202,conwayJA@myuni.db,Social Work
Amani,Janette,Savage,2344864967,23-Dec-96,"2 Taylor St., Clifton, NJ 07011",(934) 668-4057,savageAM@myuni.db,Science
Treasure,Jori,Henson,2344932850,03-Aug-97,"747 Glenlake Drive, Green Cove Springs, FL 32043",(409) 383-3562,hensonTR@myuni.db,Science
Marleigh,Justina,Wang,2344652582,24-Mar-99,"65 Wakehurst Lane, Bolingbrook, IL 60440",(644) 382-3811,wangMA@myuni.db,Arts
Kassidy,Khole,Ellis,2344735566,05-Jul-96,"974 West St Paul Avenue, Meriden, CT 06450",(200) 234-3480,ellisKA@myuni.db,Agriculture
Monica,Kim,Pierce,2344156834,18-Feb-01,"7594 Sherwood Street, Jupiter, FL 33458",(800) 330-8111,pierceMO@myuni.db,Architecture
Zahra,Layloni,Woodward,2344412146,29-Jul-95,"7207 Snake Hill Dr., Southfield, MI 48076",(414) 759-2830,woodwardZA@myuni.db,Agriculture
Hadassah,Lilliann,Godfrey,2344921093,29-Aug-97,"623 S. Pilgrim Court, Suffolk, VA 23434",(825) 756-2479,godfreyHA@myuni.db,Architecture
Allyson,Marcy,Langston,2344259472,15-Apr-04,"174 E. Constitution Street, Hoffman Estates, IL 60169",(502) 548-8469,langstonAL@myuni.db,Arts
Maxine,Mecca,Eaton,2344595401,01-Apr-03,"720 North Canterbury Dr., Delray Beach, FL 33445",(419) 363-6168,eatonMA@myuni.db,Agriculture
Khaleesi,Monet,Lowe,2344647374,09-Jul-05,"424 Shady St., Fair Lawn, NJ 07410",(715) 823-0235,loweKH@myuni.db,Science
Penny,Munira,Fuller,2344832026,19-Apr-04,"5 Colonial Ave., Greenville, NC 27834",(380) 324-6834,fullerPE@myuni.db,Arts
Marilyn,Nadya,Simmons,2344188044,28-Dec-00,"216 Clark Street, Mocksville, NC 27028",(834) 719-9148,simmonsMA@myuni.db,Architecture
Freyja,Odelia,Knight,2344941821,15-Jun-98,"48 Sunbeam Street, Manitowoc, WI 54220",(531) 520-8704,knightFR@myuni.db,Engineering
Kenna,Owen,Gold,2344793916,13-Oct-00,"7896 Victoria Ave., Port Richey, FL 34668",(656) 594-4894,goldKE@myuni.db,Agriculture
Florence,Quetzalli,Hensley,2344971208,22-Oct-97,"9 Princess Court, Flint, MI 48504",(720) 940-5857,hensleyFL@myuni.db,Engineering
Melany,Reema,French,2344367496,10-Apr-02,"172 Roehampton Drive, Ossining, NY 10562",(247) 269-2350,frenchME@myuni.db,Architecture
Sky,Rosetta,Hughes,2344989713,15-Feb-05,"455 Broad St., Hackensack, NJ 07601",(315) 350-1608,hughesSK@myuni.db,Engineering
Noemi,Sakina,Pate,2344259154,15-Feb-98,"114 Pierce Rd., West Bend, WI 53095",(901) 756-1333,pateNO@myuni.db,Engineering
Selene,Starla,Burnett,2344794843,05-Aug-95,"9746 Tailwater Court, Wethersfield, CT 06109",(376) 931-8107,burnettSE@myuni.db,Arts
Alaiya,Tayanna,Francis,2344270740,11-Jan-05,"4 Pheasant Ave., Saint Petersburg, FL 33702",(567) 710-7086,francisAL@myuni.db,Humanities
Fallon,Tiaraoluwa,Horn,2344573244,21-Apr-02,"32 Cedar Swamp Dr., Dracut, MA 01826",(874) 879-8295,hornFA@myuni.db,Architecture
